# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2932
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2932
DATA ascii
0.61412930 2.21558976 2.47151494
0.74331611 2.31215429 2.26850867
0.55871379 2.22911930 2.33735371
0.92759860 2.38784528 2.11164212
1.22056210 2.43282676 2.39751983
1.15798008 2.42099714 2.36078930
-1.29902923 2.60074401 1.45012188
-1.20064843 2.57791233 1.39181089
-1.44448531 2.62256980 1.61956894
-0.80927557 2.41771150 1.70016670
-0.82848054 2.46333528 1.52138364
-0.86591256 2.43795323 1.66537666
-0.47276434 2.37912750 1.66279316
-0.41959932 2.37388492 1.65723419
-0.30373678 2.31289458 1.88307238
-0.17685656 2.30511975 1.85134780
-0.30763549 2.35633278 1.68644118
-0.13048521 2.28691196 1.91002107
0.08654878 2.30795407 1.86965263
0.35579121 2.33343697 1.84517622
0.35792214 2.33138371 1.85535657
0.45728418 2.34990573 1.76538610
0.44283304 2.33307052 1.86333096
0.25682375 2.35502243 1.69867921
0.44210181 2.36311865 1.68373156
